time,ip,state,name
2022-05-31 12:00:49,221.151.78.120:80,on,t1
2022-05-31 12:00:51,221.151.78.120:82,off,t2
2022-05-31 12:00:52,221.151.78.120:81,off,t3
2022-05-31 12:00:54,221.151.78.120:80,off,t1
2022-05-31 13:22:25,221.151.78.120:82,on,환풍기
2022-05-31 13:22:28,221.151.78.120:82,off,환풍기
2022-05-31 13:22:42,221.151.78.120:80,on,서큘레이터
2022-05-31 13:22:51,221.151.78.120:80,off,서큘레이터
2022-05-31 13:23:17,221.151.78.120:80,off,서큘레이터
2022-05-31 13:23:21,221.151.78.120:80,on,서큘레이터
2022-05-31 13:23:36,221.151.78.120:80,off,서큘레이터
