time,ip,state,name
2022-06-01 6:40,221.151.78.120:82,off,환풍기
2022-06-01 6:41,221.151.78.120:82,on,환풍기
2022-06-01 6:58,221.151.78.120:82,off,환풍기
2022-06-01 7:37,221.151.78.120:82,on,환풍기
2022-06-01 7:44,221.151.78.120:82,off,환풍기
2022-06-01 18:32,221.151.78.120:82,off,환풍기
2022-06-01 18:32,221.151.78.120:82,on,환풍기
2022-06-01 18:32,221.151.78.120:82,off,환풍기
2022-06-01 18:32,221.151.78.120:81,on,공기청정기
2022-06-01 18:32,221.151.78.120:81,off,공기청정기
2022-06-01 23:54,221.151.78.120:82,on,환풍기
2022-06-02 0:49,221.151.78.120:82,off,환풍기
2022-06-02 1:44,221.151.78.120:82,on,환풍기
2022-06-02 1:52,221.151.78.120:82,off,환풍기
2022-06-02 1:53,221.151.78.120:82,on,환풍기
2022-06-02 1:56,221.151.78.120:82,off,환풍기
2022-06-02 1:58,221.151.78.120:82,on,환풍기
2022-06-02 1:59,221.151.78.120:82,off,환풍기
2022-06-02 1:59,221.151.78.120:82,on,환풍기
2022-06-02 5:43,221.151.78.120:82,off,환풍기
2022-06-03 4:12,221.151.78.120:82,on,환풍기
2022-06-03 5:06,221.151.78.120:82,off,환풍기
2022-06-03 5:27,221.151.78.120:82,on,환풍기
2022-06-03 5:37,221.151.78.120:82,off,환풍기
2022-06-03 6:21,221.151.78.120:82,on,환풍기
2022-06-03 6:26,221.151.78.120:82,off,환풍기
2022-06-03 6:28,221.151.78.120:82,on,환풍기
2022-06-03 6:55,221.151.78.120:82,off,환풍기
